W09-0430	Mining a Comparable Text Corpus for a Vietnamese-French Statistical Machine Translation System	2009
W98-1222	Extracting Phoneme Pronunciation Information From Corpora	1998
W03-1305	Two-Phase Biomedical NE Recognition Based On SVMs	2003
W11-2165	Generative Models of Monolingual and Bilingual Gappy Patterns	2011
W00-0502	Task Tolerance Of MT Output In Integrated Text Processes	2000
W04-1406	The Uptake Of Online Tools And Web-Based Language Resources By Freelance Translators: Implications For Translator Training Professional Development And Research	2004
H90-1075	Spoken Letter Recognition	1990
H92-1028	Parameter Estimation For Constrained Context-Free Language Models	1992
W10-0910	Unsupervised techniques for discovering ontology elements from Wikipedia article links	2010
W09-3111	Toward Categorization of Sign Language Corpora	2009
W07-2018	SemEval-2007 Task 19: Frame Semantic Structure Extraction	2007
I08-7021	Japanese Effort Toward Sharing Text and Speech Corpora	2008
W07-2098	USFD: Preliminary Exploration of Features and Classifiers for the TempEval-2007 Task	2007
W06-3900	Proceedings of the Fifth International Workshop on Inference in Computational Semantics	2006
W05-0501	The Input For Syntactic Acquisition: Solutions From Language Change Modeling	2005
W10-3211	Query Expansion for Khmer Information Retrieval	2010
X98-1020	Enhancing Detection Through Linguistic Indexing And Topic Expansion	1998
W06-3916	A Computational Theory of Inference for Arithmetic Explanation	2006
W02-1304	MEANING: A Roadmap To Knowledge Technologies	2002
P08-1105	Credibility Improves Topical Blog Post Retrieval	2008
H89-1007	Integrating Speech And Natural Language	1989
W11-2505	Encoding syntactic dependencies by vector permutation	2011
W10-1756	A Unified Approach to Minimum Risk Training and Decoding	2010
W10-1901	Two Strong Baselines for the BioNLP 2009 Event Extraction Task	2010
H90-1007	Session 2: Natural Language I	1990
W01-1514	Annotation Graphs And Servers And Multi-Modal Resources: Infrastructure For Interdisciplinary Education Research And Development	2001
W03-1720	Combining Segmenter And Chunker For Chinese Word Segmentation	2003
W97-0616	How To Obey The 7 Commandments For Spoken Dialogue?	1997
W10-1842	Design and Evaluation of Shared Prosodic Annotation for Spontaneous French Speech: From Expert Knowledge to Non-Expert Annotation	2010
W05-0825	A Generalized Alignment-Free Phrase Extraction	2005
W10-0401	Computational Linguistics in the Translator&rsquo;s Workflow&#x2014;Combining Authoring Tools and Translation Memory Systems	2010
W98-1414	Discourse Marker Choice In Sentence Planning	1998
W05-1102	Evaluating and Integrating Treebank Parsers on a Biomedical Corpus	2005
X98-1021	Overview Of The University Of Pennsylvania's TIPSTER Project	1998
W02-0105	A Non-Programming Introduction To Computer Science Via NLP IR And AI	2002
W98-0606	The Treatment Of Noun Phrase Queries In A Natural Language Database Access System	1998
W07-1401	The Third PASCAL Recognizing Textual Entailment Challenge	2007
W08-0104	Agreement and Disputes in Dialogue	2008
H92-1114	The Consortium For Lexical Research	1992
S10-1063	TIPSem (English and Spanish): Evaluating CRFs and Semantic Roles in TempEval-2	2010
W04-2208	Multilingual Aligned Parallel Treebank Corpus Reflecting Contextual Information And Its Applications	2004
W07-0308	Experiences of an In-Service Wizard-of-Oz Data Collection for the Deployment of a Call-Routing Application	2007
W91-0202	Rhetoric And Intentions In Discourse	1991
W10-1727	Vs and OOVs: Two Problems for Translation between German and English	2010
W97-0116	Acquiring German Prepositional Subcategorization Frames From Corpora	1997
W06-0604	Probing The Space Of Grammatical Variation: Induction Of Cross-Lingual Grammatical Constraints From Treebanks	2006
W01-1619	A Telephone-Based Railway Information System For Spanish: Development Of A Methodology For Spoken Dialogue Design	2001
W10-2417	Simplified Feature Set for Arabic Named Entity Recognition	2010
W97-0706	A Proposal For Task-Based Evaluation Of Text Summarization Systems	1997
W04-1704	Generated Narratives For Computer-Aided Language Teaching	2004
W09-2502	A Proposal on Evaluation Measures for RTE	2009
W01-0715	Automatic Distinction Of Arguments And Modifiers: The Case Of Prepositional Phrases	2001
W00-1202	Sense-Tagging Chinese Corpus	2000
W02-0303	Contrast And Variability In Gene Names	2002
W09-0631	Generation of Referring Expression with an Individual Imprint	2009
W04-0504	A Qualitative Comparison Of Scientific And Journalistic Texts From The Perspective Of Extracting Definitions	2004
W03-0305	Reducing Parameter Space For Word Alignment	2003
W07-0701	Using Dependency Order Templates to Improve Generality in Translation	2007
H90-1048	On Deftly Introducing Procedural Elements Into Unification Parsing	1990
W06-1110	Towards Case-Based Parsing: Are Chunks Reliable Indicators For Syntax Trees?	2006
W03-1401	Metonymy As A Cross-Lingual Phenomenon	2003
W06-1514	Generating XTAG Parsers From Algebraic Specifications	2006
W00-0802	Sense Clusters For Information Retrieval: Evidence From Semcor And The EuroWordNet InterLingual Index	2000
W06-3114	Manual And Automatic Evaluation Of Machine Translation Between European Languages	2006
W04-1807	Detecting Semantic Relations Between Terms In Definitions	2004
X96-1011	CERVANTES - A System Supporting Text Analysis	1996
H91-1001	Overview Of The Fourth DARPA Speech And Natural Language Workshop	1991
W07-2036	HIT: Web based Scoring Method for English Lexical Substitution	2007
W06-0137	Chinese Word Segmentation Based On An Approach Of Maximum Entropy Modeling	2006
H92-1121	TACITUS: Research In Text Understanding	1992
W10-3811	Manipuri-English Bidirectional Statistical Machine Translation Systems using Morphology and Dependency Relations	2010
W03-1809	A Statistical Approach To The Semantics Of Verb-Particles	2003
W10-1002	Enhancing Authentic Web Pages for Language Learners	2010
H92-1037	Minimizing Speaker Variation Effects For Speaker-Independent Speech Recognition	1992
H91-1064	Discourse Structure In The TRAINS Project	1991
W06-3906	Controlled Language for Geographical Information System Queries	2006
W09-0102	The Annotation Conundrum	2009
W94-0112	Bootstrapping Statistical Processing Into A Rule-Based Natural Language Parser	1994
I05-3010	Turn-taking in Mandarin Dialogue: Interactions of Tone and Intonation	2005
W04-1601	Computer Processing Of Arabic Script-Based Languages. Current State And Future Directions	2004
H92-1036	Map Estimation Of Continuous Density HMM : Theory And Applications	1992
N10-3003	Detecting Novelty in the context of Progressive Summarization	2010
W11-1014	A Semantic Feature for Statistical Machine Translation	2011
W10-1810	PropBank Annotation of Multilingual Light Verb Constructions	2010
S10-1012	SemEval-2010 Task: Japanese WSD	2010
W11-2316	SLPAT Demo Session	2011
W11-2141	Stochastic Parse Tree Selection for an Existing RBMT System	2011
W07-1408	Entailment and Anaphora Resolution in RTE3	2007
I08-3014	An Optimal Order of Factors for the Computational Treatment of Personal Anaphoric Devices in Urdu Discourse	2008
W07-0201	Analysis of the Wikipedia Category Graph for NLP Applications	2007
W00-1209	The Research Of Word Sense Disambiguation Method Based On Co-Occurrence Frequency Of Hownet	2000
W98-0716	A Comparison Of WordNet And Roget's Taxonomy For Measuring Semantic Similarity	1998
H90-1062	Improved Acoustic Modeling For Continuous Speech Recognition	1990
W11-2211	Lightly-Supervised Training for Hierarchical Phrase-Based Machine Translation	2011
W11-0225	ThaiHerbMiner: A Thai Herbal Medicine Mining and Visualizing Tool	2011
W10-3903	Summarizing Search Results using PLSI	2010
W09-3401	Enhancing the Japanese WordNet	2009
W04-2008	An Algorithm For Open Text Semantic Parsing	2004
W04-1509	English Dependency Grammar	2004
W06-1910	Experiments Adapting An Open-Domain Question Answering System Tothe Geographical Domain Using Scope-Based Resources	2006
W04-0707	Discourse-New Detectors For Definite Description Resolution: A Survey And A Preliminary Proposal	2004
W03-0902	Extracting And Evaluating General World Knowledge From The Brown Corpus	2003
W02-0815	Improving Subcategorization Acquisition With WSD	2002
W00-1215	Semantic Annotation Of Chinese Phrases Using Recursive Graph	2000
W02-0906	Learning Argument/Adjunct Dictinction For Basque	2002
W97-1003	A Preliminary Study Of Word Clustering Based On Syntactic Behavior	1997
W04-1114	The Construction Of A Chinese Shallow Treebank	2004
X96-1019	The HOOKAH Information Extraction System	1996
H91-1104	Very Large Annotated Database Of American English	1991
W05-0908	On Some Pitfalls In Automatic Evaluation And Significance Testing For MT	2005
S10-1041	KP-Miner: Participation in SemEval-2	2010
S10-1052	UCD-PN: Selecting General Paraphrases Using Conditional Probability	2010
W04-1905	Towards A Dependency-Based Gold Standard For German Parsers: The TIGER Dependency Bank	2004
W11-2121	Description of the JHU System Combination Scheme for WMT 2011	2011
W04-1812	Design And Implementation Of A Terminology-Based Literature Mining And Knowledge Structuring System	2004
H92-1055	Multiple Approaches To Robust Speech Recognition	1992
H91-1011	Modelling Context Dependency In Acoustic-Phonetic And Lexical Representations	1991
H92-1096	Development Of A Spoken Language System	1992
W01-1011	GIST-IT: Combining Linguistic And Machine Learning Techniques For Email Summarization	2001
S10-1090	GPLSI-IXA: Using Semantic Classes to Acquire Monosemous Training Examples from Domain Texts	2010
W98-1308	A Multilingual Natural-Language Interface To Regular Expressions	1998
W99-0209	Orthographic Co-Reference Resolution Between Proper Nouns Through The Calculation Of The Relation Of Replicancia	1999
H91-1045	Calculating The Probability Of A Partial Parse Of A Sentence	1991
W04-0505	BioGrapher: Biography Questions As A Restricted Domain Question Answering Task	2004
W09-0609	Referring Expression Generation through Attribute-Based Heuristics	2009
W00-1015	Flexible Speech Act Based Dialogue Management	2000
W09-2821	UDel: Extending Reference Generation to Multiple Entities	2009
W07-1013	A shared task involving multi-label classification of clinical free text	2007
W02-1207	A State Of The Art Of Thai Language Resources And Thai Language Behavior Analysis And Modeling	2002
W02-0708	Balancing Expressiveness And Simplicity In An Interlingua For Task Based Dialogue	2002
W08-0614	A Pilot Annotation to Investigate Discourse Connectivity in Biomedical Text	2008
W98-0208	Semantic Visualization	1998
W07-1907	Design and Evaluation of an American Sign Language Generator	2007
X96-1050	Multilingual Entity Task (MET): Japanese Results	1996
W10-0801	Towards a Domain Independent Semantics: Enhancing Semantic Representation with Construction Grammar	2010
I08-7012	Assessment and Development of POS Tag Set for Telugu	2008
W04-2613	Generating Linear Orders Of Text-Based Events	2004
W03-1717	Learning Verb-Noun Relations To Improve Parsing	2003
W08-1205	Native Judgments of Non-Native Usage: Experiments in Preposition Error Detection	2008
X96-1035	Advances In Multilingual Text Retrieval	1996
W04-0312	Incremental Parsing Or Incremental Grammar?	2004
W00-0604	Answer Extraction Towards Better Evaluations Of NLP Systems	2000
W90-0125	Narrated Animation: A Case For Generation	1990
W09-2602	Developing German Semantics on the basis of Parallel LFG Grammars	2009
W09-1508	Grammar Engineering for CCG using Ant and XSLT	2009
W04-0815	Dependency Based Logical Form Transformations	2004
W01-1506	The OLAC Metadata Set And Controlled Vocabularies	2001
W06-2705	Multi-Dimensional Annotation And Alignment In An English-German Translation Corpus	2006
W97-0903	Software Re-Use And Evolution In Text Generation Applications	1997
W07-1529	Shared Corpora Working Group Report	2007
W98-0307	Meta-Discourse Markers And Problem-Structuring In Scientific Articles	1998
W06-3807	Learning Of Graph-Based Question Answering Rules	2006
I08-3011	Strategies for sustainable MT for Basque: incremental design reusability standardization and open-source	2008
W09-0608	Class-Based Ordering of Prenominal Modifiers	2009
I05-4010	Harvesting the Bitexts of the Laws of Hong Kong From the Web	2005
W07-0732	Statistical Post-Editing on SYSTRAN's Rule-Based Translation System	2007
H89-2058	Research In Continuous Speech Recognition	1989
W04-1311	Some Tests Of An Unsupervised Model Of Language Acquisition	2004
W03-0605	An Architecture For Word Learning Using Bidirectional Multimodal Structural Alignment	2003
E09-3004	Finding Word Substitutions Using a Distributional Similarity Baseline and Immediate Context Overlap	2009
W07-0723	Getting to Know Moses: Initial Experiments on German-English Factored Translation	2007
W09-3207	Measuring semantic relatedness with vector space models and random walks	2009
W91-0109	Reversible Machine Translation: What To Do When The Languages Don't Line Up	1991
W08-0909	An Analysis of Statistical Models and Features for Reading Difficulty Prediction	2008
W02-0802	Digraph Analysis Of Dictionary Preposition Definitions	2002
W09-1401	Overview of BioNLP&rsquo;09 Shared Task on Event Extraction	2009
W98-1303	Does Tagging Help Parsing? A Case Study On Finite State Parsing	1998
W03-1613	Lexical Paraphrasing For Document Retrieval And Node Identification	2003
W02-1406	Probabilistic Named Entity Verification	2002
W04-1513	Synchronous Dependency Insertion Grammars: A Grammar Formalism For Syntax Based Statistical MT	2004
W99-0903	Dual Distributional Verb Sense Disambiguation With Small Corpora And Machine Readable Dictionaries	1999
W97-1208	Looking For The Presence Of Linguistic Concepts In The Prosody Of Spoken Utterances	1997
W07-1003	The Role of Roles in Classifying Annotated Biomedical Text	2007
W09-0612	An Alignment-Capable Microplanner for Natural Language Generation	2009
H89-2072	Preprocessors For Noisy Speech	1989
W02-0607	Modeling English Past Tense Intuitions With Minimal Generalization	2002
W96-0306	Acquisition Of Semantic Lexicons: Using Word Sense Disambiguation To Improve Precision	1996
W99-0508	Parallel Translations As Sense Discriminators	1999
W04-0308	Incrementality In Deterministic Dependency Parsing	2004
W90-0114	The Role Of Underlying Structure In Text Generation	1990
W10-2316	Eliminating Redundancy by Spectral Relaxation for Multi-Document Summarization	2010
W04-3111	Integrated Annotation For Biomedical Information Extraction	2004
W93-0304	Toward A Cross-Linguistic Tagset	1993
W04-0821	The University Of Maryland Senseval-3 System Descriptions	2004
I08-3009	SriShell Primo: A Predictive Sinhala Text Input System	2008
W07-2009	SemEval-2007 Task 10: English Lexical Substitution Task	2007
W07-2102	UTD-SRL: A Pipeline Architecture for Extracting Frame Semantic Structures	2007
W07-1520	Two Tools for Creating and Visualizing Sub-sentential Alignments of Parallel Text	2007
I08-4032	A Chinese Word Segmentation System Based on Cascade Model	2008
X98-1006	Project Underline - A Government Perspective	1998
W02-1704	XML/XSL In The Dictionary: The Case Of Discourse Markers	2002
W97-1302	Constraints And Defaults Of Zero Pronouns In Japanese Instruction Manuals	1997
W00-0902	Comparing Corpora With WordSmith Tools: How Large Must The Reference Corpus Be?	2000
W99-0308	Tagging Psychotherapeutic Interviews For Linguistic Analysis	1999
W09-3425	Using Search Engine to Construct a Scalable Corpus for Vietnamese Lexical Development for Word Segmentation	2009
W10-1738	Jane: Open Source Hierarchical Translation Extended with Reordering and Lexicon Models	2010
W11-2119	Expected BLEU Training for Graphs: BBN System Description for WMT11 System Combination Task	2011
W06-3327	Subdomain Adaptation Of A POS Tagger With A Small Corpus	2006
W09-0427	Toward Using Morphology in French-English Phrase-Based SMT	2009
W06-2503	Relating WordNet Senses For Word Sense Disambiguation	2006
W04-1616	Stemming The Qur'an	2004
W07-2078	UBC-ZAS: A k-NN based Multiclassifier System to perform WSD in a Reduced Dimensional Vector Space	2007
W06-1307	DRT Representation Of Degrees Of Belief	2006
W03-0613	Learning Word Meanings And Descriptive Parameter Spaces From Music	2003
W10-0710	Can Crowds Build parallel corpora for Machine Translation Systems?	2010
W98-0609	Automatic Collection And Analysis Of GermanCompounds	1998
W08-0407	Experiments in Discriminating Phrase-Based Translations on the Basis of Syntactic Coupling Features	2008
W09-1707	Using DEDICOM for Completely Unsupervised Part-of-Speech Tagging	2009
W08-0901	Developing Online ICALL Resources for Russian	2008
W09-3419	Philippine Language Resources: Trends and Directions	2009
W11-0704	Contextual Bearing on Linguistic Variation in Social Media	2011
W06-2801	Text Linkage In The Wiki Medium - A Comparative Study	2006
W09-3602	Anchor Text Extraction for Academic Search	2009
W10-1921	Integration of Static Relations to Enhance Event Extraction from Text	2010
W09-1906	A Web Survey on the Use of Active Learning to Support Annotation of Text Data	2009
W09-1307	Selecting an Ontology for Biomedical Text Mining	2009
I05-4002	Evaluation of a Japanese CFG Derived from a Syntactically Annotated Corpus with Respect to Dependency Measures	2005
W06-3702	Evaluating Task Performance For A Unidirectional Controlled Language Medical Speech Translation System	2006
W06-1315	Empirical Verification Of Adjacency Pairs Using Dialogue Segmentation	2006
W07-2063	SHEF: Semantic Tagging and Summarization Techniques Applied to Cross-document Coreference	2007
H86-1013	Commonsense Metaphysics And Lexical Semantics	1986
W02-1816	WSD And Closed Semantic Constraint	2002
W10-0306	Representing Story Plans in SUMO	2010
W09-2604	Autosegmental representations in an HPSG of Hausa	2009
H91-1044	Parsing The Voyager Domain Using Pearl	1991
W97-0210	Investigating Complementary Methods For Verb Sense Pruning	1997
W10-3114	Contradiction-focused qualitative evaluation of textual entailment	2010
W09-1318	Using Hedges to Enhance a Disease Outbreak Report Text Mining System	2009
W11-0506	Abstractive Summarization of Line Graphs from Popular Media	2011
W97-1504	Hypertextual Grammar Development	1997
H89-1035	Natural Language Research	1989
W10-2008	Towards a Data-Driven Model of Eye Movement Control in Reading	2010
W03-1115	Temporal Ranking For Fresh Information Retrieval	2003
W07-2057	PNNL: A Supervised Maximum Entropy Approach to Word Sense Disambiguation	2007
S10-1093	Kyoto: An Integrated System for Specific Domain WSD	2010
W06-0801	Indonesian-Japanese CLIR Using Only Limited Resource	2006
W05-0819	Aligning Words In English-Hindi Parallel Corpora	2005
W01-1003	Crosslingual Language Technologies For Knowledge Creation And Knowledge Sharing (Invited Talk)	2001
W00-0402	Mining Discourse Markers For Chinese Textual Summarization	2000
W11-1828	Generalizing Biomedical Event Extraction	2011
W10-1915	Towards Internet-Age Pharmacovigilance: Extracting Adverse Drug Reactions from User Posts in Health-Related Social Networks	2010
W05-0707	Part Of Speech Tagging For Amharic Using Conditional Random Fields	2005
W09-3507	A Language-Independent Transliteration Schema Using Character Aligned Models at NEWS 2009	2009
W04-0802	The Senseval-3 Multilingual English­Hindi Lexical Sample Task	2004
W04-1004	Paragraph- Word- And Coherence-Based Approaches To Sentence Ranking: A Comparison Of Algorithm And Human Performance	2004
W04-2111	Concordance Of Snippet	2004
W09-0503	Identifying Segment Topics in Medical Dictations	2009
W97-0710	Sentence Extraction As A Classification Task	1997
W09-0419	Statistical Post Editing and Dictionary Extraction: Systran/Edinburgh Submissions for ACL-WMT2009	2009
W94-0305	Discourse Planning As An Optimization Process	1994
W97-0415	Spoken Language Translation With The ITSVox System	1997
W05-1206	Local Textual Inference: Can It Be Defined Or Circumscribed?	2005
W06-2203	An Experimental Study On Boundary Classification Algorithms For Information Extraction Using SVM	2006
W08-0327	Can we Relearn an RBMT System?	2008
I05-6002	Obtaining Japanese Lexical Units for Semantic Frames from Berkeley FrameNet Using a Bilingual Corpus	2005
W07-0804	Arabic Cross-Document Person Name Normalization	2007
W11-1516	A Study of Academic Collaborations in Computational Linguistics using a Latent Mixture of Authors Model	2011
W11-0901	Going Beyond Shallow Semantics	2011
W04-2803	A Little Goes A Long Way: Quick Authoring Of Semantic Knowledge Sources For Interpretation	2004
W99-0213	What Is Coreference And What Should Coreference Annotation Be?	1999
W98-1238	Learning Feature-Value Grammars From Plain Text	1998
I08-6008	A Document Graph Based Query Focused Multi-Document Summarizer	2008
S10-1004	SemEval-2010 Task 5 : Automatic Keyphrase Extraction from Scientific Articles	2010
W98-0902	Computing Declarative Prosodic Morphology	1998
W11-2704	Task-Based Evaluation of NLG Systems: Control vs Real-World Context	2011
W10-3104	Does negation really matter?	2010
W08-1808	Evaluation of Automatically Reformulated Questions in Question Series	2008
W96-0309	Qualia Structure And The Compositional Interpretation Of Compounds	1996
W03-0910	Deriving Verb-Meaning Clusters From Syntactic Structure	2003
W10-2608	Frustratingly Easy Semi-Supervised Domain Adaptation	2010
W11-1011	Automatic Category Label Coarsening for Syntax-Based Machine Translation	2011
P09-3009	Data Cleaning for Word Alignment	2009
S10-1023	FCC: Modeling Probabilities with GIZA++ for Task 2 and 3 of SemEval-2	2010
W04-0209	Exploiting Semantic Information For Manual Anaphoric Annotation In Cast3LB Corpus	2004
W10-1763	Decision Trees for Lexical Smoothing in Statistical Machine Translation	2010
W01-1401	Example-Based Machine Translation Using DP-Matching Between Work Sequences	2001
I08-7003	Preliminary Chinese Term Classification for Ontology Construction	2008
W94-0317	Planning Reference Choices For Argumentative Texts	1994
W07-0210	Correlations in the Organization of Large-Scale Syntactic Dependency Networks	2007
W02-1602	Coedition To Share Text Revision Across Languages And Improve MT A Posteriori	2002
W04-0811	The English All-Words Task	2004
W07-1024	Adaptation of POS Tagging for Multiple BioMedical Domains	2007
W93-0222	Assumption Underlying Discourse Relations: Which Ones Are Really There And Where Are They?	1993
W06-2106	Coverage And Inheritance In The Preposition Project	2006
W01-1404	Approximating Context-Free By Rational Transduction For Example-Based MT	2001
H89-1012	The BBN Spoken Language System	1989
W04-2324	Discourse Dependency Structures As Constrained DAGs	2004
W11-1414	Generating Concept Map Exercises from Textbooks	2011
W98-1001	Discovering Lexical Information By Tagging Arabic Newspaper Text	1998
I05-5011	Automatic Paraphrase Discovery based on Context and Keywords between NE Pairs	2005
W01-1601	Annotations And Tools For An Activity Based Spoken Language Corpus	2001
I08-5007	Named Entity Recognition for Telugu	2008
H89-1028	National Institute Of Standards And Technology (NIST) (Formerly National Bureau Of Standards)	1989
W07-0104	Active Learning for the Identification of Nonliteral Language	2007
X93-1002	TIPSTER Program History	1993
E09-3005	Structural Correspondence Learning for Parse Disambiguation	2009
W03-1108	Learning Bilingual Translations From Comparable Corpora To Cross-Language Information Retrieval: Hybrid Statistics-Based And Linguistics-Based Approach	2003
W00-0507	TransType: A Computer-Aided Translation Typing System	2000
W06-1323	Relationship Between Utterances And Enthusiasm In Non-Task-Oriented Conversational Dialogue	2006
S10-1058	UvT: Memory-Based Pairwise Ranking of Paraphrasing Verbs	2010
W08-0402	A Scalable Decoder for Parsing-Based Machine Translation with Equivalent Language Model State Maintenance	2008
W09-1004	Experiments Using OSTIA for a Language Production Task	2009
W07-1516	Active Learning for Part-of-Speech Tagging: Accelerating Corpus Annotation	2007
W04-0832	Senseval Automatic Labeling Of Semantic Roles Using Maximum Entropy Models	2004
W11-1407	Automatic Gap-fill Question Generation from Text Books	2011
W04-1001	Invited Lecture: Narrative Summarization	2004
W96-0310	Lexical Rules For Deverbal Adjectives	1996
W10-3111	A survey on the role of negation in sentiment analysis	2010
W98-0201	The Pausanian Notation: A Method For Representing The Structure And The Content Of A Hyperdocument	1998
W06-3410	Retrospective Analysis Of Communication Events - Understanding The Dynamics Of Collaborative Multi-Party Discourse	2006
W08-1003	Part-of-Speech Tagging with a Symbolic Full Parser: Using the TIGER Treebank to Evaluate Fips	2008
W01-0708	Introduction To The CoNLL-2001 Shared Task: Clause Identification	2001
W04-0109	Multilingual Noise-Robust Supervised Morphological Analysis Using The WordFrame Model	2004
W04-2602	Towards Full Automation Of Lexicon Construction	2004
W06-3323	Identifying Experimental Techniques In Biomedical Literature	2006
W07-2096	UPV-SI: Word Sense Induction using Self Term Expansion	2007
W09-2420	SemEval-2010 Task 17: All-words Word Sense Disambiguation on a Specific Domain	2009
W97-0408	English-To-Mandarin Speech Translation With Head Transducers	1997
W03-1311	Extracting Information On Pneumonia In Infants Using Natural Language Processing Of Radiology Reports	2003
W98-1112	Aligning Tagged Bitexts	1998
W02-1108	Assigning Verbs To Semantic Classes Via WordNet	2002
W97-0105	Probabilistic Parsing Of Unrestricted English Text With A Highly-Detailed Grammar	1997
W09-2805	Unsupervised Induction of Sentence Compression Rules	2009
W08-1407	Evaluating automatically generated user-focused multi-document summaries for geo-referenced images	2008
W08-0216	Support Collaboration by Teaching Fundamentals	2008
I08-8003	Phrase-based Machine Transliteration	2008
I05-3031	Two-Phase LMR-RC Tagging for Chinese Word Segmentation	2005
H91-1024	Machine Translation Using Abductive Inference	1991
W07-1425	A Compositional Approach toward Dynamic Phrasal Thesaurus	2007
W99-0403	Speech Comparison In The Rosetta Stone TM	1999
W09-3023	Developing Novel Multimodal and Linguistic Annotation Software	2009
W06-1311	Semantic Tagging For Resolution Of Indirect Anaphora	2006
W06-2713	Representing And Accessing Multilevel Linguistic Annotation Using The MEANING Format	2006
W07-0604	High-accuracy Annotation and Parsing of CHILDES Transcripts	2007
W06-0112	A Hybrid Approach To Chinese Base Noun Phrase Chunking	2006
W04-0214	Discourse Annotation In The Monroe Corpus	2004
W03-1727	Chinese Word Segmentation In MSR-NLP	2003
W07-2004	SemEval-2007 Task 05: Multilingual Chinese-English Lexical Sample	2007
W10-2405	Transliteration Generation and Mining with Limited Training Resources	2010
H92-1082	An Efficient A* Stack Decoder Algorithm For Continuous Speech Recognition With A Stochastic Language Model	1992
W10-1907	Improving Summarization of Biomedical Documents Using Word Sense Disambiguation	2010
W11-0420	Discourse-constrained Temporal Annotation	2011
W03-1726	Introduction To CKIP Chinese Word Segmentation System For The First International Chinese Word Segmentation Bakeoff	2003
W04-0410	Frozen Sentences Of Portuguese: Formal Descriptions For NLP	2004
W09-2903	Verb Noun Construction MWE Token Classification	2009
H86-1018	The Role Of Perspective In Responding To Property Misconceptions	1986
W05-0105	Web-Based Interfaces For Natural Language Processing Tools	2005
W07-0808	Can You Tag the Modal? You Should.	2007
W11-0404	How Good is the Crowd at real WSD?	2011
W93-0313	Experience About Compound Dictionary On Computer Networks	1993
W09-2207	An Analysis of Bootstrapping for the Recognition of Temporal Expressions	2009
W98-1412	Abductive Reasoning For Syntactic Realization	1998
W04-2807	Different Sense Granularities For Different Applications	2004
W03-1310	Answering Clinical Questions With Role Identification	2003
I08-6004	Some Experiments in Mining Named Entity Transliteration Pairs from Comparable Corpora	2008
W04-1611	A Transcription Scheme For Languages Employing The Arabic Script Motivated By Speech Processing Applications	2004
H89-2013	Enhanced Good-Turing And Cat.Cal: Two New Methods For Estimating Probabilities Of English Bigrams (Abbreviated Version)	1989
W99-0301	Annotation Graphs As A Framework For Multidimensional Linguistic Data Analysis	1999
